timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_histogram,bb_position,volatility_5m,volatility_15m,volume_ratio,price_change_1m,price_change_5m,price_change_15m,trend_strength,volatility_percentile,volume_percentile,is_optimal_entry,is_optimal_exit,future_profit_potential
2025-08-01 08:26:00+00:00,0.20288,0.20299,0.20264,0.20286,903090.0,51.073985680191015,-0.0003628194958521236,-0.00045397107242813647,9.115157657601288e-05,0.5302683062127547,0.00011886967653886413,0.00042579114039429457,0.35214934260991254,-9.858044164035018e-05,-0.0008865248226949118,-0.0001478633742421076,1.0,0.56,0.5,False,False,0.0
2025-08-01 08:27:00+00:00,0.20286,0.20309,0.20279,0.20298,831478.0,58.097686375321274,-0.0003291642941362638,-0.0004290097167697032,9.984542263343941e-05,0.572512151717193,0.00014686728703304348,0.0004277827664110303,0.35939504023450725,0.0005915409642116565,0.0015295801055903446,0.0010356561621540639,-1.0,0.58,0.46,False,False,0.0
2025-08-01 08:28:00+00:00,0.20298,0.20311,0.20278,0.20308,440587.0,56.6489361702128,-0.0002910685371377286,-0.0004014214808432565,0.00011035294370552787,0.6564184032622136,0.000175556258790281,0.00041104049157530113,0.21139773531934716,0.0004926593753080688,0.0018252676236989451,0.0036076105757352206,-1.0,0.51,0.18,False,False,0.0
2025-08-01 08:29:00+00:00,0.20307,0.20311,0.2025,0.20285,859665.0,60.51136363636351,-0.00027625055563190726,-0.000376387295800949,0.00010013674016904174,0.502009671576268,9.848857802018147e-05,0.00040308099150724756,0.42022355268287637,-0.0011325585975970887,0.0011845417304179318,0.0013328067923783493,-1.0,0.45,0.47,False,False,0.0
2025-08-01 08:30:00+00:00,0.20286,0.20335,0.20286,0.20314,1650189.0,59.35672514619851,-0.0002383606056121923,-0.00034878195776316445,0.00011042135215097215,0.6881371566391623,0.000129305839003633,0.00034370807103619393,0.8178330827333729,0.001429627803795741,0.0012815457413248854,0.005096234723665161,1.0,0.22,0.81,False,False,0.0
2025-08-01 08:31:00+00:00,0.20313,0.20326,0.20288,0.20318,1233709.0,57.23076923076919,-0.00020276771269173155,-0.00031957910874884983,0.00011681139605711828,0.7013299797457656,0.00013296616111037226,0.0003228179495808963,0.6256080072372638,0.0001969085359851963,0.00157744257123138,0.0033580246913580414,1.0,0.2,0.62,False,False,0.0
2025-08-01 08:32:00+00:00,0.20319,0.20329,0.20294,0.20312,422963.0,37.50000000000014,-0.00017735682882233372,-0.00029113465276352473,0.00011377782394119101,0.6497690322852077,0.0001303073290357339,0.00031317878660780716,0.22815895568930006,-0.0002953046559700523,0.0006897231254310299,0.0020225938532878462,1.0,0.18,0.15,False,False,0.0
2025-08-01 08:33:00+00:00,0.20312,0.20355,0.20299,0.20305,1428149.0,37.17948717948745,-0.00016101057913031624,-0.00026510983803686703,0.00010409925890655079,0.5865879289454529,0.00013065221008627206,0.00025365893862240005,0.7913204966059743,-0.00034462386766431763,-0.0001477250344691372,-0.0031909671084927593,1.0,0.03,0.71,False,False,0.0
2025-08-01 08:34:00+00:00,0.20304,0.20327,0.20291,0.20318,1129083.0,54.054054054054376,-0.00013599898063723637,-0.0002392876665569282,0.00010328868591969183,0.6566127711464221,5.366563146393389e-05,0.00018642756795984343,0.6269673541718112,0.0006402363949764567,0.001626817845698847,-0.002307881168671755,1.0,0.01,0.58,False,False,0.0
2025-08-01 08:35:00+00:00,0.20319,0.20319,0.20181,0.20213,5445602.0,34.256055363321764,-0.00019860973834778806,-0.00023115208091509695,3.25423425673089e-05,-0.07071096237575746,0.00045151965627250184,0.00028210602532379554,2.715187343171014,-0.005167831479476304,-0.0049719405336220435,-0.004432842437078199,-1.0,0.16,0.97,True,False,0.04209629446395877
